My Artists CSV

name,mbid,url,image_small,image
"Eminem",undefined,"https://www.last.fm/music/Eminem","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Linkin Park",undefined,"https://www.last.fm/music/Eminem+&+Linkin+Park","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"EminemMusic",undefined,"https://www.last.fm/music/EminemMusic","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Lil Wayne",undefined,"https://www.last.fm/music/Eminem+&+Lil+Wayne","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Elton John",undefined,"https://www.last.fm/music/Eminem+&+Elton+John","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem & Nate Dogg",undefined,"https://www.last.fm/music/Eminem+&+Nate+Dogg","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem, Juice WRLD",undefined,"https://www.last.fm/music/Eminem,+Juice+WRLD","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem feat. Jessie Reyez",undefined,"https://www.last.fm/music/Eminem+feat.+Jessie+Reyez","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem feat. Ed Sheeran",undefined,"https://www.last.fm/music/Eminem+feat.+Ed+Sheeran","",""
"Eminem/Rihanna",undefined,"https://www.last.fm/music/Eminem%2FRihanna","",""
"Eminem feat. Juice WRLD",undefined,"https://www.last.fm/music/Eminem+feat.+Juice+WRLD","",""
"Eminem, Obie Trice, Stat Quo, Bobby Creekwater & Ca$his",undefined,"https://www.last.fm/music/Eminem,+Obie+Trice,+Stat+Quo,+Bobby+Creekwater+&+Ca$his","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Eminem Feat. Joyner Lucas",undefined,"https://www.last.fm/music/Eminem+Feat.+Joyner+Lucas","",""
"Eminem Feat. Skylar Grey",undefined,"https://www.last.fm/music/Eminem+Feat.+Skylar+Grey","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
