My Artists CSV

name,mbid,url,image_small,image
"EminemMusic","","https://www.last.fm/music/EminemMusic","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"eminemmylou","e2de0653-9ad5-4c2a-a826-aae8413c09cc","https://www.last.fm/music/eminemmylou","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"EminemMusic - Download","","https://www.last.fm/music/EminemMusic+-+Download","",""
"eminem-marshall mathers","","https://www.last.fm/music/eminem-marshall+mathers","",""
"Eminem-Mania bei TV total","","https://www.last.fm/music/Eminem-Mania+bei+TV+total","",""
"Eminem-Mockingbird","","https://www.last.fm/music/Eminem-Mockingbird","",""
"EminemMusic - EminemMusic","","https://www.last.fm/music/EminemMusic+-+EminemMusic","",""
"Eminem-MaRJuaNa","","https://www.last.fm/music/Eminem-MaRJuaNa","",""
"EminemMP3.cjb.net","","https://www.last.fm/music/EminemMP3.cjb.net","",""
"EminemMarshalMatherz","","https://www.last.fm/music/EminemMarshalMatherz","",""
"eminemmusicable","","https://www.last.fm/music/eminemmusicable","",""
"Eminem-Marilyn Manson","","https://www.last.fm/music/Eminem-Marilyn+Manson","",""
"Eminemmm","","https://www.last.fm/music/Eminemmm","",""
"#eminemmonstersxm","","https://www.last.fm/music/%23eminemmonstersxm","",""
"EminemMusicVEVO","","https://www.last.fm/music/EminemMusicVEVO","",""
"Eminemm Ft Rihanna","","https://www.last.fm/music/Eminemm+Ft+Rihanna","",""
"Eminem-Mashall Mathers LP","","https://www.last.fm/music/Eminem-Mashall+Mathers+LP","",""
"Eminemmylou, Sa-Ra and Gala","","https://www.last.fm/music/Eminemmylou,+Sa-Ra+and+Gala","",""
"D12 feat. Eminemm","","https://www.last.fm/music/D12+feat.+Eminemm","",""
"Eminemm ft. Rihanna","","https://www.last.fm/music/Eminemm+ft.+Rihanna","",""
"Eminem-Mosh","","https://www.last.fm/music/Eminem-Mosh","",""
"Eminem-Mokingbird","","https://www.last.fm/music/Eminem-Mokingbird","",""
"Eminem-Mushrooms","","https://www.last.fm/music/Eminem-Mushrooms","",""
"eminem-mathers.mihanblog.com","","https://www.last.fm/music/eminem-mathers.mihanblog.com","",""
"EminemMusicEMIN3Mlyrics02912EminemMusicEminemMusicMichael Kim27226Kalin Ryse NikolovBulletClubV2No Life ShaqMegaSlimMarshallEminemMusicNotorious HipHopShady LyricsRap AttackKing KTF4SmokeWeed2Everyday0Broadband JoseaThe Music Recording NetworkEminemMusicJDWhiskey1992EminemMusicRich and KelseyEminem fanHezakya StarrThe Real G Music TVJojo’s LifeYo Favorite Homegirl","","https://www.last.fm/music/EminemMusicEMIN3Mlyrics02912EminemMusicEminemMusicMichael+Kim27226Kalin+Ryse+NikolovBulletClubV2No+Life+ShaqMegaSlimMarshallEminemMusicNotorious+HipHopShady+LyricsRap+AttackKing+KTF4SmokeWeed2Everyday0Broadband+JoseaThe+Music+Recording+NetworkEminemMusicJDWhiskey1992EminemMusicRich+and+KelseyEminem+fanHezakya+StarrThe+Real+G+Music+TVJojo%E2%80%99s+LifeYo+Favorite+Homegirl","",""
"Eminem-MGMT","","https://www.last.fm/music/Eminem-MGMT","",""
"Eminemm, Nelly, 50 Cent, JayZ, Pharrel,l Chingy","","https://www.last.fm/music/Eminemm,+Nelly,+50+Cent,+JayZ,+Pharrel,l+Chingy","",""
"Latest Bill, Eminemmylou","","https://www.last.fm/music/Latest+Bill,+Eminemmylou","",""
"B.O.B Williams ft. Eminemm","","https://www.last.fm/music/B.O.B+Williams+ft.+Eminemm","",""
"EminemMusic (YouTube)","","https://www.last.fm/music/EminemMusic+(YouTube)","",""
