My Artists CSV

name,mbid,url,image_small,image
"LanaDelReyVEVO","","https://www.last.fm/music/LanaDelReyVEVO","",""
"lanadelreypost.tumblr.com","","https://www.last.fm/music/lanadelreypost.tumblr.com","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"LanaDelRey Unreleased","","https://www.last.fm/music/LanaDelRey+Unreleased","",""
"LanaDelReyMusicc","","https://www.last.fm/music/LanaDelReyMusicc","",""
"Lanadelrey","","https://www.last.fm/music/Lanadelrey","https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png","https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png"
"Lana-Del-Rey-High-By-The-Beach-Viduta-Remix","","https://www.last.fm/music/Lana-Del-Rey-High-By-The-Beach-Viduta-Remix","",""
"Lana-Del-Rey","","https://www.last.fm/music/Lana-Del-Rey","",""
"LanaDelReyLIETUVA","","https://www.last.fm/music/LanaDelReyLIETUVA","",""
"LanaDelReyGlobe","","https://www.last.fm/music/LanaDelReyGlobe","",""
"LanaDelRey Ft Tupac","","https://www.last.fm/music/LanaDelRey+Ft+Tupac","",""
"@LanaDelRey","","https://www.last.fm/music/@LanaDelRey","",""
"lanadelreyvideos","","https://www.last.fm/music/lanadelreyvideos","",""
"lanadelrey4eva","","https://www.last.fm/music/lanadelrey4eva","",""
"#LanaDelRey","","https://www.last.fm/music/%23LanaDelRey","",""
"LanaDelRey TV","","https://www.last.fm/music/LanaDelRey+TV","",""
"lanadelreylatest","","https://www.last.fm/music/lanadelreylatest","",""
"lanadelreysmusic","","https://www.last.fm/music/lanadelreysmusic","",""
"LanaDelReyOnline","","https://www.last.fm/music/LanaDelReyOnline","",""
"LanaDelReyFanCom","","https://www.last.fm/music/LanaDelReyFanCom","",""
"Lanadelrey87","","https://www.last.fm/music/Lanadelrey87","",""
"LanaDelRey ITALIA","","https://www.last.fm/music/LanaDelRey+ITALIA","",""
"Lana Del Rey (@lanadelrey)","","https://www.last.fm/music/Lana+Del+Rey+(@lanadelrey)","",""
"lana-del-rey-heardle.netlify.app","","https://www.last.fm/music/lana-del-rey-heardle.netlify.app","",""
"LanaDelRey RC","","https://www.last.fm/music/LanaDelRey+RC","",""
"Lana-Del-Rey-Summertime-Sadness","","https://www.last.fm/music/Lana-Del-Rey-Summertime-Sadness","",""
"lanadelreynow","","https://www.last.fm/music/lanadelreynow","",""
"LanaDelRey,AKAElizabethWoolridgeGrant,NYC","","https://www.last.fm/music/LanaDelRey,AKAElizabethWoolridgeGrant,NYC","",""
"Lana-Del-Rey-West-Coast-Mitch-D-Cover-Mix-feat-Zarina","","https://www.last.fm/music/Lana-Del-Rey-West-Coast-Mitch-D-Cover-Mix-feat-Zarina","",""
"LanaDelReyTVEVO","","https://www.last.fm/music/LanaDelReyTVEVO","",""
"lanadelreylatinoamerica","","https://www.last.fm/music/lanadelreylatinoamerica","",""
