My Artists CSV

name,mbid,url,image_small,image
"sdfsdf","","https://www.last.fm/music/sdfsdf","",""
"sdfsdfsdf","","https://www.last.fm/music/sdfsdfsdf","",""
"sdfsdff","","https://www.last.fm/music/sdfsdff","",""
"sdfsdfsdfsdf","","https://www.last.fm/music/sdfsdfsdfsdf","",""
"sdfsdflgggdl","","https://www.last.fm/music/sdfsdflgggdl","",""
"sdfsdfds","","https://www.last.fm/music/sdfsdfds","",""
"sdfsdfs","","https://www.last.fm/music/sdfsdfs","",""
"sdfsdfgdfg","","https://www.last.fm/music/sdfsdfgdfg","",""
"sdfsdfdsfds","","https://www.last.fm/music/sdfsdfdsfds","",""
"sdfsdfsdffsdf","","https://www.last.fm/music/sdfsdfsdffsdf","",""
"leonardo sdfsdf","","https://www.last.fm/music/leonardo+sdfsdf","",""
"sdfsdfsd","","https://www.last.fm/music/sdfsdfsd","",""
"sdfsdfd","","https://www.last.fm/music/sdfsdfd","",""
"sdfsdfsdsdf","","https://www.last.fm/music/sdfsdfsdsdf","",""
"Sdfsdfdsf","","https://www.last.fm/music/Sdfsdfdsf","",""
"sdfsd sdfsdf","","https://www.last.fm/music/sdfsd+sdfsdf","",""
"Motig sdfsdf","","https://www.last.fm/music/Motig+sdfsdf","",""
"06 sdfsdfsdfs","","https://www.last.fm/music/06+sdfsdfsdfs","",""
"ereerer sdfsdfsd","","https://www.last.fm/music/ereerer+sdfsdfsd","",""
"Sdfsdfsdg","","https://www.last.fm/music/Sdfsdfsdg","",""
"sdfsdfs sfdfsdf","","https://www.last.fm/music/sdfsdfs+sfdfsdf","",""
"f sdfsdfs fsdf","","https://www.last.fm/music/f+sdfsdfs+fsdf","",""
"sampliky sdfsdfsdfsd","","https://www.last.fm/music/sampliky+sdfsdfsdfsd","",""
"administrator sdfsdfsdf","","https://www.last.fm/music/administrator+sdfsdfsdf","",""
"sdfsdfasd","","https://www.last.fm/music/sdfsdfasd","",""
"Asdfsf sdfsdffdf","","https://www.last.fm/music/Asdfsf+sdfsdffdf","",""
"kraft sdfsdf","","https://www.last.fm/music/kraft+sdfsdf","",""
"esfsf sdfsdf","","https://www.last.fm/music/esfsf+sdfsdf","",""
"sdfsdfefsd","","https://www.last.fm/music/sdfsdfefsd","",""
"Sdfsdfwef","","https://www.last.fm/music/Sdfsdfwef","",""
